scriptSerial,title,TitleJP-CN,tragedySet,creator,box,setNumber,boxAlt,setNumberAlt,loopsHard,loopsEasy,loopsRange,daysPerLoop,specialRules,notes,mainPlot,SubPlot 1,SubPlot 2,Cast 1 ID,Cast 1 Role,Cast 2 ID,Cast 2 Role,Cast 3 ID,Cast 3 Role,Cast 4 ID,Cast 4 Role,Cast 5 ID,Cast 5 Role,Cast 6 ID,Cast 6 Role,Cast 7 ID,Cast 7 Role,Cast 8 ID,Cast 8 Role,Cast 9 ID,Cast 9 Role,Cast 10 ID,Cast 10 Role,Cast 11 ID,Cast 11 Role,Cast 12 ID,Cast 12 Role,Day 1,Incident 1,Culprit 1 ID,Culprit 1 Role,Day 2,Incident 2,Culprit 2 ID,Culprit 2 Role,Day 3,Incident 3,Culprit 3 ID,Culprit 3 Role,Day 4,Incident 4,Culprit 4 ID,Culprit 4 Role,Day 5,Incident 5,Culprit 5 ID,Culprit 5 Role,Day 6,Incident 6,Culprit 6 ID,Culprit 6 Role,Day 7,Incident 7,Culprit 7 ID,Culprit 7 Role,Day 8,Incident 8,Culprit 8 ID,Culprit 8 Role,Day 9,Incident 9,Culprit 9 ID,Culprit 9 Role,Day 10,Incident 10,Culprit 10 ID,Culprit 10 Role
BTX-015,Dance of the Plague Butterfly,黒死蝶ノ舞 ,Basic Tragedy,夜刻月火団,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-016,Target：TRINITY ,,Basic Tragedy,夜刻月火団 ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-017,The Bloodthirsty Chief,血に飢えし巨魁,Basic Tragedy,じーちゃん／へたっぴ ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-018,Fight! Our Dark Hero!,戦え！ 僕らのダークヒーロー！ ,Basic Tragedy,gleipnil,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-019,An Invisible Shadow,見えざる影 ,Basic Tragedy,若武者一,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-020,Kima Love Labyrinth Guide,木間市情愛迷宮案内 ,Basic Tragedy,十六夜,,,Script Collection,,,,,,,"木間市情愛迷宮案内 木間市 is a 2ch pun meme about yuri (https://dic.nicovideo.jp/a/%E6%9C%A8%E9%96%93%E5%B8%82) which originates from (https://dic.nicovideo.jp/a/%E3%82%AD%E3%83%9E%E3%82%B7%E3%82%BF%E3%83%AF%E3%83%BC) Strawberry Panic. It means ""It's here!""

キマシタワー (来ましたわ) → Kimashi Tower (Kimashi Towaa) (https://dic.nicovideo.jp/a/%E3%81%93%E3%81%93%E3%81%AB%E3%82%AD%E3%83%9E%E3%82%B7%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%92%E5%BB%BA%E3%81%A6%E3%82%88%E3%81%86) → 木間市 (Kima-shi) Kima City (https://dic.nicovideo.jp/a/%E6%9C%A8%E9%96%93%E5%B8%82)

迷宮案内 is a reference to a popular show, Kyoto Labyrinth Guide (https://ja.wikipedia.org/wiki/%E4%BA%AC%E9%83%BD%E8%BF%B7%E5%AE%AE%E6%A1%88%E5%86%85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-021,TRA-BLU!,とらぶるっ！ ,Basic Tragedy,RooP,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-022,The Proper Way to Kill that Guy,正しいアイツの殺し方 ,Basic Tragedy,澤村聡,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-023,Re：araignée ,,Basic Tragedy,Bakardi,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-024,A Prankster’s Challenge Letter,愉快犯による挑戦状 ,Basic Tragedy,4d2,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-025,A Little Friend,小さな友は供にあり,Basic Tragedy,BakaFire+R,New Tragedies,12,Script Collection,1,4,5,4 – 5,5,,,Change of Future,The Hidden Freak,Paranoia Virus,Godly Being (∞ 3),Cultist,Journalist,Time Traveler,Class Rep,Serial Killer,Young Girl,Friend,Rich Man’s Daughter,Conspiracy Theorist,Black Cat,Person,Alien,Person,Informer,Person,Forensic Specialist,Person,,,,,,,1,Increasing Unease,Rich Man’s Daughter,,2,Missing Person,Young Girl,,4,Increasing Unease,Informer,,5,Butterfly Effect,Class Rep,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-026,Fall-Sakura Gathering,秋桜教,Basic Tragedy,Kyokei,New Tragedies,13,Script Collection,2,4,5,4 – 5,5,,,Murder Plan,A Love Affair,The Hidden Freak,Sacred Tree,Key Person,Soldier,Killer,Police Officer,Brain,Doctor,Lover,Class Rep,Loved One,Shrine Maiden,Serial Killer,Sect Founder,Friend,Copycat,Killer,Mystery Boy,Conspiracy Theorist,,,,,,,2,Suicide,Class Rep,,4,Butterfly Effect,Doctor,,5,Increasing Unease,Sect Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-027,One-Night Tragedy (BTX Hospital Incident Chapter),ワンナイト惨劇（BTX病院の事件編） ,Basic Tragedy,おみ (HOM),,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-028,One-Night Tragedy (BTX Missing Persons Chapter),ワンナイト惨劇（BTX行方不明編） ,Basic Tragedy,おみ (HOM),,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-029,My First Love & the Yandere Shrine Maiden,初恋のあの娘とヤンデレ巫女 ,Basic Tragedy,km,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-030,Believe Me. ,,Basic Tragedy,比良坂右京,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-031,The Assassin from the Past,過去からの刺客 ,Basic Tragedy,unun( うぬん ),,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-032,One-Way Looper,片道RoopeR ,Basic Tragedy,ペロ王子,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-033,An Ominous Shadow & a Lurking Demon,不吉の影と潜む鬼 ,Basic Tragedy,ヒグラシ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-034,The Balance of Power ,,Basic Tragedy,Michael Schrag,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-035,Everywhere ,,Basic Tragedy,Hopkins Loopers,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-036,Who...aaam I...... ,,Basic Tragedy,Unknown_343(7^3) ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-037,Even If It Costs My Life!,たとえ我が命尽きるとも ,Basic Tragedy,k m,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-038,Take a Third Option,二者択一からの脱却 ,Basic Tragedy,おみ (HOM),,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-039,An Inevitable Day,回避不可避の一日 ,Basic Tragedy,げんさん,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-040,Lesser of Two Evils,,Basic Tragedy,GEnd,Tragedy Looper,4,,,3,4,3 – 4,7,,,The Sealed Item,The Hidden Freak,Unknown Factor X,Boy Student,Person,Girl Student,Person,Rich Man’s Daughter,Brain,Shrine Maiden,Friend,Office Worker,Serial Killer,Informer,Person,Journalist,Factor,Patient,Person,Nurse,Cultist,,,,,,,2,Increasing Unease,Rich Man’s Daughter,,4,Missing Person,Nurse,,5,Missing Person,Boy Student,,7,Suicide,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-041,Mirror Passcode,,Basic Tragedy,M. Hydromel,Tragedy Looper,7,,,3,4,3 – 4,7,,,Sign with me!,Unknown Factor X,Paranoia Virus,Boy Student,Person,Girl Student,Key Person,Rich Man’s Daughter,Factor,Mystery Boy,Cultist,Office Worker,Person,Informer,Conspiracy Theorist,Journalist,Person,Patient,Person,Nurse,Person,,,,,,,3,Missing Person,Rich Man’s Daughter,,4,Increasing Unease,Journalist,,5,Hospital Incident,Mystery Boy,,7,Murder,Boy Student,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-042,Secret Cat Walk,,Basic Tragedy,GEnd,Cosmic Evil,1,,,4,5,4 – 5,6,,,The Sealed Item,Paranoia Virus,Unknown Factor X,Boy Student,Person,Rich Man’s Daughter,Cultist,Teacher,Conspiracy Theorist,Shrine Maiden,Person,Black Cat,Factor,Office Worker,Person,Informer,Brain,Patient,Person,Soldier,Person,,,,,,,3,Missing Person,Boy Student,,4,Hospital Incident,Shrine Maiden,,6,Butterfly Effect,Black Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-043,The Future of the Gods,,Basic Tragedy,Nightly Moonfire group,Tragedy Looper,6,,,,4,4,7,,,Change of Future,The Hidden Freak,A Love Affair,Boy Student,Time Traveler,Rich Man’s Daughter,Person,Shrine Maiden,Cultist,Godly Being (∞ 3),Loved One,Police Officer,Person,Office Worker,Serial Killer,Pop Idol,Lover,Patient,Person,Nurse,Friend,,,,,,,2,Suicide,Pop Idol,,4,Increasing Unease,Shrine Maiden,,5,Butterfly Effect,Police Officer,,7,Foul Evil,Patient,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-044,The Secret That Was Kept,,Basic Tragedy,BakaFire,Tragedy Looper,5,,,3,4,3 – 4,7,,,Giant Time Bomb,Threads of Fate,Circle of Friends,Rich Man’s Daughter,Witch,Class Rep,Person,Shrine Maiden,Person,Alien,Friend,Office Worker,Friend,Informer,Conspiracy Theorist,Pop Idol,Person,Journalist,Person,Patient,Person,,,,,,,2,Suicide,Rich Man’s Daughter,,3,Missing Person,Office Worker,,4,Hospital Incident,Journalist,,6,Spreading,Shrine Maiden,,7,Foul Evil,Pop Idol,,,,,,,,,,,,,,,,,,,,,
BTX-045,Young Women’s Battlefield,,Basic Tragedy,Gayusu,Tragedy Looper,3,,,3,4,3 – 4,6,,,Sign with me!,A Love Affair,The Hidden Freak,Boy Student,Person,Girl Student,Friend,Class Rep,Loved One,Shrine Maiden,Key Person,Police Officer,Person,Office Worker,Lover,Informer,Serial Killer,Patient,Person,Nurse,Person,,,,,,,3,Foul Evil,Office Worker,,4,Increasing Unease,Class Rep,,6,Suicide,Girl Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-001,The Endless Cycle Breaker V2,永遠輪回的破局者V2 ,Basic Tragedy,ChatnoiR,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-002,Dangerous Fairy Tale,迫真教学本 ,Basic Tragedy,Choconut,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-003,KILL BOSS: The Looper,KILL BOSS : the RoopeR,Basic Tragedy,Ryo.Shin.,Sangeki,92,Fan,,,3,3,3,,,Sign with me!,Threads of Fate,Paranoia Virus,Boss,Key Person (Hospital),Journalist,Conspiracy Theorist,Office Worker,Person,Doctor,Person,Patient,Person,Nurse,Person,Teacher,Person,,,,,,,,,,,1,Increasing Unease,Teacher,,2,Murder,Office Worker,,3,Hospital Incident,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-004,Script Maker,脚本ツクール,Basic Tragedy,Lapras-hst@パーソン,Sangeki,19,Fan,,,4,4,5,,,The Sealed Item,Circle of Friends,Paranoia Virus,Doctor,Brain,A.I.,Cultist,Patient,Friend,Shrine Maiden,Friend,Girl Student,Conspiracy Theorist,Mystery Boy,Loved One,Police Officer,Person,Informer,Person,Rich Man’s Daughter,Person,,,,,,,2,Murder,Rich Man’s Daughter,,3,Murder,Patient,,4,Murder,Shrine Maiden,,5,Murder,A.I.,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-005,Those Who Overwhelm,圧倒する者たち,Basic Tragedy,ペンスキー,Sangeki,56,Fan,,,3,3,4,,,Sign with me!,Threads of Fate,The Hidden Freak,Transfer Student (Day 2),Key Person,Black Cat,Serial Killer,A.I.,Friend,Soldier,Person,Copycat,Person,Boss,Person (School),Illusion,Person,Godly Being (∞ 1),Person,,,,,,,,,1,Suicide,Transfer Student,,4,Spreading,Black Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-006,A Businessman Wanders into a Place Full of Women,女だらけの場所に紛れ込んだサラリーマン,Basic Tragedy,yurei(ʘᴗʘ✿),Sangeki,11,Fan,,,4,4,5,,,Sign with me!,The Hidden Freak,A Love Affair,Shrine Maiden,Key Person,Alien,Serial Killer,Office Worker,Friend,Class Rep,Lover,Rich Man’s Daughter,Loved One,Informer,Person,Pop Idol,Person,,,,,,,,,,,3,Butterfly Effect,Rich Man’s Daughter,,5,Hospital Incident,Pop Idol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-007,Time Traveler on the Run,逃げ惑うタイムトラベラー,Basic Tragedy,ペンスキー,Sangeki,8,Fan,,,4,4,4,,,Change of Future,Unknown Factor X,An Unsettling Rumor,Patient,Cultist,Informer,Time Traveler,Girl Student,Factor,Rich Man’s Daughter,Conspiracy Theorist,Doctor,Person,Alien,Person,Shrine Maiden,Person,Office Worker,Person,Police Officer,Person,,,,,,,1,Hospital Incident,Girl Student,,3,Spreading,Rich Man’s Daughter,,4,Foul Evil,Shrine Maiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-008,The Assassin Blade's Target,凶刃の向かう先は,Basic Tragedy,ペンスキー,Sangeki,59,Fan,,,4,4,3,,,Murder Plan,Circle of Friends,Threads of Fate,Informer,Key Person,Pop Idol,Killer,Soldier,Brain,Office Worker,Friend,Teacher,Friend,Boy Student,Conspiracy Theorist,Black Cat,Person,Patient,Person,,,,,,,,,1,Murder,Office Worker,,2,Increasing Unease,Boy Student,,3,Missing Person,Pop Idol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-009,What if a Man Fell into the World of Yuri?,もしも百合の世界の間に男が入ってきたら？,Basic Tragedy,白獅子のケイ,Sangeki,72,Fan,,,4,4,6,,,Sign with me!,A Love Affair,Paranoia Virus,Transfer Student (Day 3),Key Person,Nurse,Lover,Rich Man’s Daughter,Loved One,Henchman,Conspiracy Theorist,Girl Student,Person,Pop Idol,Person,Shrine Maiden,Person,Alien,Person,,,,,,,,,1,Increasing Unease,Rich Man’s Daughter,,2,Increasing Unease,Henchman,,3,Butterfly Effect,Shrine Maiden,,4,Butterfly Effect,Pop Idol,,5,Increasing Unease,Transfer Student,,6,Murder,Nurse,,,,,,,,,,,,,,,,,
BTX-F-010,A Perfect Day for Suicide,自殺日和,Basic Tragedy,竹美香,Sangeki,57,Fan,,,4,4,4,,,Murder Plan,Circle of Friends,A Love Affair,Little Sister,Key Person,Police Officer,Killer,Servant,Brain,Rich Man’s Daughter,Friend,Young Girl,Friend,Sacred Tree,Conspiracy Theorist,Office Worker,Lover,Patient,Loved One,,,,,,,,,1,Suicide,Rich Man’s Daughter,,2,Suicide,Patient,,3,Suicide,Office Worker,,4,Suicide,Young Girl,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-011,A Will.,,Basic Tragedy,比良坂右京,Sangeki,53,Fan,,,3,3,5,,,Change of Future,An Unsettling Rumor,A Love Affair,Patient,Cultist,Part-Timer,Time Traveler,Informer,Conspiracy Theorist,Doctor,Lover,Class Rep,Loved One,Rich Man’s Daughter,Person,Teacher,Person,Office Worker,Person,Pop Idol,Person,,,,,,,2,Increasing Unease,Rich Man’s Daughter,,3,Hospital Incident,Office Worker,,4,Butterfly Effect,Pop Idol,,5,Foul Evil,Teacher,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-012,The Academy Tragedy,学園の惨劇,Basic Tragedy,れう,Sangeki,28,Fan,,,4,4,4,,,The Sealed Item,Circle of Friends,An Unsettling Rumor,Doctor,Brain,Pop Idol,Cultist,Class Rep,Friend,Transfer Student (day 3),Friend,Girl Student,Conspiracy Theorist,Mystery Boy,Serial Killer,Shrine Maiden,Person,Office Worker,Person,Informer,Person,,,,,,,1,Increasing Unease,Shrine Maiden,,2,Hospital Incident,Class Rep,,4,Missing Person,Transfer Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-013,Wings Slithering on the Ground,地を這う羽,Basic Tragedy,ぶー太郎,Sangeki,27,Fan,,,4,4,5,,,Change of Future,An Unsettling Rumor,Unknown Factor X,Girl Student,Cultist,Part-Timer,Time Traveler,Teacher,Conspiracy Theorist,Informer,Factor,Class Rep,Person,Shrine Maiden,Person,Office Worker,Person,Patient,Person,,,,,,,,,2,Spreading,Teacher,,4,Increasing Unease,Class Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-014,Everyone Gathers to Bully the Tofu-Minded,豆腐メンタルをみんなでいじめる会,Basic Tragedy,Lapras-hst@パーソン,Sangeki,13,Fan,,,5,5,5,,,Murder Plan,Unknown Factor X,Paranoia Virus,Rich Man’s Daughter,Key Person,Shrine Maiden,Killer,Girl Student,Brain,Boy Student,Factor,Teacher,Conspiracy Theorist,Mystery Boy,Serial Killer,Class Rep,Person,Pop Idol,Person,Transfer Student (Day 3),Person,,,,,,,1,Increasing Unease,Rich Man’s Daughter,,3,Missing Person,Pop Idol,,5,Faraway Murder,Class Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-015,Antivirus Friendship Front,ウイルス対策友情戦線,Basic Tragedy,れう,Sangeki,12,Fan,,,4,4,6,,,Change of Future,Circle of Friends,Paranoia Virus,Pop Idol,Cultist,Patient,Time Traveler,Girl Student,Friend,Rich Man’s Daughter,Friend,Doctor,Conspiracy Theorist,Office Worker,Person,Informer,Person,Shrine Maiden,Person,,,,,,,,,2,Butterfly Effect,Pop Idol,,4,Hospital Incident,Office Worker,,5,Murder,Shrine Maiden,,6,Murder,Informer,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-016,100-Friends Plan,友達100人計画,Basic Tragedy,白獅子のケイ,Sangeki,71,Fan,,,5,5,6,,,The Sealed Item,Unknown Factor X,Circle of Friends,Boss,Brain (School),Doctor,Cultist,Teacher,Factor,Shrine Maiden,Friend,Rich Man’s Daughter,Friend,Class Rep,Conspiracy Theorist,Mystery Boy,Time Traveler,Transfer Student (Day 2),Person,Pop Idol,Person,,,,,,,1,Missing Person,Rich Man’s Daughter,,3,Increasing Unease,Mystery Boy,,5,Faraway Murder,Teacher,,6,Hospital Incident,Transfer Student,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-017,Unrivaled ★ Little Sister,妹★無双,Basic Tragedy,KM(キャクホンカミナライ),Sangeki,94,Fan,,,4,4,6,,,Change of Future,Paranoia Virus,Unknown Factor X,Henchman,Cultist,Little Sister,Time Traveler,A.I.,Conspiracy Theorist,Office Worker,Factor,Informer,Person,Journalist,Person,Sect Founder,Person,Copycat,Person,Metaworld Denizen,Person,,,,,,,1,Murder,Journalist,,2,Increasing Unease,Copycat,,4,Butterfly Effect,A.I.,,5,Foul Evil,Henchman,,6,Spreading,Sect Founder,,,,,,,,,,,,,,,,,,,,,
BTX-F-018,"From the Nothing, with Love",虚空より愛を込めて,Basic Tragedy,Ryo.Shin.,Sangeki,89,Fan,,,4,4,3,,,Change of Future,Circle of Friends,An Unsettling Rumor,Henchman,Cultist,Black Cat,Time Traveler,Patient,Friend,A.I.,Friend,Informer,Conspiracy Theorist,Doctor,Person,Alien,Person,Class Rep,Person,,,,,,,,,1,Spreading,Black Cat,,2,Hospital Incident,Henchman,,3,Suicide,A.I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-019,Overcoming the Death of a Friend,友の死を乗り越えて,Basic Tragedy,ペンスキー,Sangeki,58,Fan,,,6,6,3,,,The Sealed Item,The Hidden Freak,Circle of Friends,A.I.,Brain,Doctor,Cultist,Transfer Student (Day 2),Serial Killer,Alien,Friend,Sacred Tree,Friend,Patient,Conspiracy Theorist,Copycat,Friend,Little Sister,Person,Rich Man’s Daughter,Person,Henchman,Person,,,,,1,Increasing Unease,Henchman,,2,Missing Person,Rich Man’s Daughter,,3,Foul Evil,Patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-020,Leave it to Lil' Sis!,妹様におまかせ！,Basic Tragedy,れう,Sangeki,24,Fan,,,4,4,7,,,Giant Time Bomb,Threads of Fate,Circle of Friends,Henchman,Witch,Godly Being (∞ 3),Friend,Little Sister,Friend,Police Officer,Conspiracy Theorist,Rich Man’s Daughter,Person,Shrine Maiden,Person,Office Worker,Person,Forensic Specialist,Person,Black Cat,Person,,,,,,,1,Suicide,Shrine Maiden,,2,Murder,Police Officer,,3,Hospital Incident,Black Cat,,4,Spreading,Rich Man’s Daughter,,5,Butterfly Effect,Office Worker,,6,Faraway Murder,Forensic Specialist,,7,Missing Person,Henchman,,,,,,,,,,,,,
BTX-F-021,The Devotion of Mastermind X,脚本家Ｘの献身,Basic Tragedy,Lapras-hst@パーソン,Sangeki,20,Fan,,,6,6,4,,,Change of Future,Circle of Friends,Threads of Fate,Black Cat,Cultist,Godly Being (∞ 2),Time Traveler,Patient,Friend,Rich Man’s Daughter,Friend,Transfer Student (Day 3),Conspiracy Theorist,Doctor,Person,Soldier,Person,Boss,Person (Hospital),Forensic Specialist,Person,Pop Idol,Person,,,,,1,Suicide,Rich Man’s Daughter,,2,Spreading,Boss,,3,Hospital Incident,Forensic Specialist,,4,Butterfly Effect,Black Cat,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-022,Trouble in Paradise,,Basic Tragedy,chewonki,,,Fan,,4,5,4 – 5,4,,,Sign with me!,The Hidden Freak,A Love Affair,Rich Man’s Daughter,Key Person,Alien,Serial Killer,Godly Being (∞ 3),Friend,Henchman,Lover,Patient,Loved One,Mystery Boy,Person,Class Rep,Person,Doctor,Person,Pop Idol,Person,Informer,Person,,,,,2,Increasing Unease,Rich Man’s Daughter,,3,Foul Evil,Patient,,4,Suicide,Henchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-023,Fifty-Fifty,フィフティ・フィフティ,Basic Tragedy,じーちゃん,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-024,Escort Mission,,Basic Tragedy,davidchaeB,,,Fan,,,4,4,6,,,Murder Plan,Paranoia Virus,Threads of Fate,Rich Man’s Daughter,Key Person,Pop Idol,Killer,Boss,Brain (School),Class Rep,Conspiracy Theorist,Henchman,Person,Nurse,Person,Informer,Person,Mystery Boy,Factor,,,,,,,,,2,Murder,Class Rep,,4,Butterfly Effect,Mystery Boy,,5,Faraway Murder,Nurse,,6,Missing Person,Rich Man’s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-025,Terror is Ripe,,Basic Tragedy,O'Malley,www.tragedylooperscripts.com (not reviewed),103,Fan,,,3,3,5,,,Murder Plan,Paranoia Virus,Circle of Friends,Girl Student,Person,Rich Man’s Daughter,Person,Class Rep,Key Person,Alien,Killer,Police Officer,Person,Office Worker,Person,Pop Idol,Friend,Doctor,Brain,Patient,Friend,Henchman,Conspiracy Theorist,,,,,4,Hospital Incident,Girl Student,,5,Suicide,Class Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-026,Last Gift of the God of Freedom,,Basic Tragedy,Redless,www.tragedylooperscripts.com (not reviewed),157,Fan,,,5,5,6,,,Change of Future,A Love Affair,The Hidden Freak,Doctor,Time Traveler,Alien,Serial Killer,Office Worker,Loved One,Girl Student,Lover,Rich Man’s Daughter,Friend,Boss,Cultist (Hospital),Police Officer,Person,Patient,Person,Mystery Boy,Conspiracy Theorist,,,,,,,1,Foul Evil,Boss,,2,Suicide,Alien,,3,Missing Person,Rich Man’s Daughter,,4,Increasing Unease,Doctor,,5,Spreading,Girl Student,,6,Butterfly Effect,Patient,,,,,,,,,,,,,,,,,
BTX-F-027,Was it Just the Wind?,,Basic Tragedy,Tuxian,,,Fan,,3,4,3 – 4,7,,,Murder Plan,Threads of Fate,An Unsettling Rumor,Illusion,Key Person,Alien,Killer,Journalist,Brain,Shrine Maiden,Conspiracy Theorist,Patient,Person,Doctor,Person,Pop Idol,Person,Rich Man’s Daughter,Person,Class Rep,Person,Henchman,Person,Mystery Boy,Factor,,,1,Butterfly Effect,Rich Man’s Daughter,,2,Missing Person,Shrine Maiden,,3,Increasing Unease,Henchman,,4,Increasing Unease,Alien,,5,Faraway Murder,Patient,,6,Spreading,Doctor,,7,Suicide,Mystery Boy,,,,,,,,,,,,,
BTX-F-028,A Night of Tragedy: The Story of the Abandoned Shoes in Wuran,一夜惨剧 鞋弃乌冉篇 ,Basic Tragedy,新手之二,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-029,Anti-Hater Campaign,黑粉清除计划 ,Basic Tragedy,海天一色,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-F-030,The Tragedy of X,X的悲剧 ,Basic Tragedy,清尘,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
